단어,뜻
police,경찰
history,역사
mathematics,수학
politics,정치
dramatic,극적인
flash,플래시
pool,수영장
poor,가난한
pop,팝
popular,인기 있는
formal,공식적인
number,숫자
lecture,강의
position,위치
positive,긍정적인
sweet,달콤한
examination,시험
possibility,가능성
exam,시험
possibly,혹시
post,우편
potentially,잠재적으로
concentration,집중
potential,잠재적인
imagination,상상력
pound,파운드
selection,선택
entry,기입
immigration,이민
powerful,강한
practice,관행
bath,욕조
shower,샤워
east,동쪽
measurement,측정
predict,예측하다
prefer,선호하다
chest,가슴
outline,개요
king,왕
meat,고기
unemployment,실업
prepare,준비하다
ear,귀
half,반
I,나
prospect,전망
press,누르다
pressure,압력
discipline,규율
narrative,이야기
pretty,예쁜
prevent,예방하다
previous,이전의
previously,이전에
peak,정점
diet,다이어트
self,본인
primary,주요한
consequently,따라서
string,끈
wire,철사
book,책
anything,아무것
private,사적인
something,무엇
brush,브러시
view,보다
clothing,의류
careful,주의 깊은
future,미래
procedure,절차
proceed,진행하다
pregnancy,임신
produce,생산하다
retirement,퇴직
production,생산
night,밤
deeply,깊이
submit,제출하다
profit,이익
acknowledge,인정하다
progress,진전
project,프로젝트
promise,약속하다
promote,홍보하다
pretend,~인 척하다
behave,행동하다
help,돕다
proper,적절한
do,하다
proposal,제안
propose,제안하다
process,프로세스
protect,보호하다
protection,보호
crack,금이 가다
seem,~인 것 같다
prove,입증하다
question,질문
bless,신을 하다
spell,주문
can,~할 수 있다
live,살다
attach,붙이다
feel,느끼다
pull,당기다
hear,듣다
purchase,구입
exceed,초과하다
purpose,목적
sit,앉다
push,푸시
remain,유지하다
differ,다르다
regret,후회
quality,품질
result,결과
quarter 4,분의 1
lose,잃다
quick,빠른
quickly,빠르게
quiet,조용한
need,필요
stand,서다
quote,인용하다
freeze,꼭 매달리게 하다
recover,다시 덮다
radio,라디오
disappear,사라지다
rain,비
raise,들어올리다
undertake,맡다
range,범위
become,~이 되다
arise,생기다
react,반응하다
expect,예상하다
reckon,세다
lean,기대다
burst,터지다
split,나뉘다
sigh,한숨을 쉬다
remember,기억하다
import,수입
reaction,반응
construct,건설하다
reader,리더
insure,안전하게 하다
reality,현실
realize,깨닫다
love,사랑
send,보내다
embarrass,당황하게 하다
reasonable,합리적인
move,이동하다
recall,상기하다
convert,전환하다
recent,최근의
recently,최근에
update,업데이트
adapt,적응하다
recognize,인정하다
recommend,추천하다
transform,변환
translate,번역하다
edit,편집하다
red,빨간색
reduce,줄이다
wipe,닦음
refer,나타내다
reference,참조
shut,닫다
reform,개정
integrate,통합
refuse,거절하다
regard,관심
follow,따르다
return,반품
register,등록하다
reach,도달하다
meet,만나다
regular,정기적인
cluster,무리
compose,구성하다
regulation,규제
relate,말하다
relationship,관계
relative,상대적인
relatively,비교적
eliminate,제거하다
retain,유지하다
religious,종교의
drive,운전하다
wrap,포장하다
make,만들다
invent,꾸미다
remind,상기시키다
cope,코프
remove,제거하다
rent,임차료
devote,바치다
repeat,반복하다
replace,바꾸다
reply,회신하다
want,원하다
price,가격
representative,대표
request,요구
require,필요하다
requirement,요구 사항
weigh,달다
research,연구
grow,자라다
resident,거주자
derive,파생하다
control,제어
detect,감지하다
find,찾다
consult,찾다
exhibit,전시하다
resource,의지
respect,존경
play,놀다
respond,대답하다
response,응답
responsibility,책임
responsible,책임이 있는
rest,나머지
restaurant,식당
fulfill,다하다
rush,서두르다
use,사용
continue,계속하다
begin,시작하다
solar,태양열
consume,소비하다
be BE,
anticipate,예상하다
reveal,드러내다
revenue,수익
undergo,받다
review,검토
show,보여주다
praise,칭찬
protest,항의
neglect,소홀히 하다
rich,부자
admire,존경하다
ride,타다
occupy,점유하다
rise,증가
risk,위험
river,강
road,도로
rock,바위
role,역할
roll,연타
resolve,해결하다
calculate,믿다
root,뿌리
compute,계산하다
like,좋다
round,둥근
route,노선
trace,추적하다
stop,멈추다
repair,수리하다
rule,규칙
study,공부하다
specialize,전문화하다
chase,뒤쫓다다
safe,안전한
safety,안전
pursue,추구하다
cough,기침
evaluate,평가하다
poll,투표
learn,배우다
recruit,모집
buy,구입하다
receive,받다
deserve,~받을 만하다
satisfy,풀다
save,구하다
qualify,자격을 갖추다
scale,규모
persuade,설득하다
excuse,변명
scene,장면
schedule,일정
scheme,계획
communicate,의사소통하다
support,지원하다
science,과학
pay,지불하다
deal,거래
score,점수
justify,신이 옳다고 하다
screen,화면
sea,바다
assign,양수인
search,찾다
season,계절
reward,보상
offer,권하다
entitle,제목
section,부분
sector,부문
secure,안전한
lend,빌려주다
yield,생산하다
seek,구하다
dedicate,전념하다
sink,싱크대
select,선택하다
reverse,뒤집다
accompany,따르게 하다
sell,팔다
visit,방문하다
senior,상위
sense,감각
develop,개발하다
sentence,문장
separate,분리된
distribute,분배하다
series,시리즈
serious,심각한
give,주다
serve,제공하다
disagree,맞지 않다
negotiate,협상하다
settle,해결하다
mean,평균
think,생각하다
keep,유지하다
sex,섹스
dare,도전
know,알다
shake,떨림
shall,~일 것이다
shape,모양
involve,관련시키다
encounter,맞닥뜨리다
possess,붙잡다
dominate,빼어나게 솟다
correspond,대응하다
assist,돕다
boost,후원
sponsor,스폰서
shift,옮기다
crash,충돌
ship,배
shock,충격
shoot,사격
shop,가게
tap,수도꼭지
short,짧은
knock,노크
embrace,포옹하다
harm,피해
incorporate,포함하다
point,가리키다
unite,맞잡다
isolate,분리하다
preserve,보존하다
understand,이해하다
significant,중요한
resign,사직하다
abandon,버리다
allow,허용하다
underlie,밑바탕이
counsel,조언
similar,비슷한
simple,단순한
simply,간단히
care,케어
sing,노래하다
single,하나의
read,읽다
watch,보다
sister,자매
stare,응시
glance,섬광
situation,상황
size,크기
scan,주사
skill,기능
fade,바래다
service,서비스
sleep,잠
sustain,지속시키다
alter,바꾸다
decide,결정하다
slightly,약간
boom,팔
pour,붓다
slow,느린
swear,욕을 하다
scream,비명
bet,내기
smoke,연기
try,노력하다
provide,제공하다
shine,빛나는
craft,선박
society,사회
revise,개정하다
software,소프트웨어
note,메모
soldier,군인
complicate,복잡하게
solution,해결책
solve,해결하다
change,변화
somebody,어떤 사람
increase,증가하다
someone,누구
regulate,규제하다
sometimes,때때로
impress,날인
somewhere,어딘가에
son,아들
song,노래
frighten,놀라다
sorry,죄송합니다
trick,장난
motivate,동기 부여
source,원천
south,남쪽
scare,공황
space,공간
depress,기를 꺾다
inspire,고무하다
speaker,스피커
special,특별한
anger,화
bore,구경
interest,관심
specific,특정한
speech,연설
speed,속도
include,포함하다
enhance,향상시키다
stretch,뻗기
spirit,영혼
cause,원인
ban,반
sport,스포츠
spot,점
spread,확산
spring,봄
bend,만곡부
seal,밀봉하다
staff,직원
stage,단계
trigger,방아쇠
strengthen,강하게 하다
confuse,혼란시키다
assure,확신하다
level,수준
standard,기준
star,별
constitute,구성하다
comprise,이루다
pump,펌프
statement,성명
station,역
status,상태
create,만들다
stain,얼룩
step,단계
stick,막대
greet,환영하다
suggest,제안하다
cite,인용문
stone,결석
stir,젓다
breathe,숨 쉬다
store,가게
wander,떠돌다
leap,뛰다
straight,똑바로
dig,파기
strange,이상한
fold,겹
strategy,전략
put,놓다
street,거리
strength,힘
go,가다
stress,스트레스
hurry,서두르다
slide,슬라이드
strike,스트라이크
swing,그네
come,오다
walk,걷다
strong,강한
run,달리다
struggle,고심하다
owe,빚지다
rid,제거하다
stuff,물건
disappoint,어긋나게 하다
let,허락하다
perceive,감지하다
distinguish,구별하다
get,얻다
appoint,정하다
success,성공
successful,성공적인
govern,통치하다
mount,산
suddenly,갑자기
suffer,시달리다
have,가지다
call,부르다
take,가져가다
suggestion,제안
suit,정장
situate ...,을 놓다
sum,합집합
click,딸깍 하는 소리
summer,여름
sun,해
bite,깨물다
restrict,얽매다
supply,공급
exclude,들어오지 못하게 하다
suppose,가정하다
breed,새끼를 낳다
defend,지키다
surface,표면
input,입력
surprise,놀라다
restore,복원하다
surround,주변
survey,조사
pose,포즈
survive,생존하다
place,장소
bury,묻다
grab,붙잡다
borrow,빌리다
sweep,스위프
swim,헤엄
interpret,해석하다
rescue,구조하다
remark,주목
table,테이블
value,값
tell,말하다
joke,농담
blame,탓하다
damn,젠장
declare,선언하다
apologize,사과하다
accuse,고발하다
tape,줄자
target,목표
task,일
tax,세
taxi,택시
tea,차
teach,가르치다
teacher,선생님
team,팀
technical,인위적인
technique,기술
telephone,전화
criticize,흠잡다
talk,말하다
tend,추세
ask,묻다
steal,훔치다
broadcast,방송
dismiss,해고하다
cast,깁스
break,부서지다
install,설치하다
expose,폭로하다
lead,선두
slip,슬립
text,텍스트
evolve,진화하다
grin,이를 드러내고 웃다
shout,외침
ruin,망치다
theater,극장
theme,주제
themselves,그들 자신
implement,구현하다
found,설립하다
summarize,요약
allege,주장하다
therefore,그러므로
specify,명시하다
float,뜨다
cancel,취소
hesitate,망설이다
disturb,방해하다
suspend,유예하다
retire,은퇴하다
threat,위협
threaten,위협하다
emphasize,강조하다
throughout,~내내
throw,던지다
thus,따라서
ticket,표
urge,충고하다
till ...,까지
analyze,분석하다
win,이기다
tire,타이어
overcome,극복하다
title,제목
accomplish,성취하다
collapse,무너지다
imply,암시하다
tomorrow,내일
advise,권하다
tackle,태클
tonight,오늘 밤
entertain,즐겁게 하다
bring,가져오다
happen,일어나다
topic,주제
total,총
totally,완전히
tough,힘든
tour,관광
tourist,관광객
strip,조각
toward,~을 향하여
bother,신경 쓰다
chat,채팅
whisper,속삭임
track,길
trade,거래
traditional,전통적인
traffic,교통
educate,기르다
thank,감사하다
transfer,옮기다
aside,곁에
consider,고려하다
transport,수송
believe,믿다
travel,여행하다
treat,대하다
treatment,치료
tree,나무
trend,경향
trial,재판
stroke,뇌졸중
sail,돛
trip,여행
trouble,문제
resist,저항하다
compete,경쟁하다
trust,신뢰하다
truth,진실
spin,회전
twist,트위스트
look,바라보다
twice,두 배
figure,수치
hold,잡고 있다
spend,경비
typical,전형적인
force,힘
say,말하다
speak,말하다
see,보다
smell,냄새가 나다
march 3,월
unclear,불분명함
defeat,패배시키다
pray,기도하다
strain,부담
soil,토양
head,머리
rear,뒤쪽
unfortunately,안타깝게도
journey,여행
unique,고유한
unit,단위
therapy,요법
upset,속상한
van,봉고차
university,대학교
pipe,파이프
unless,~하지 않는 한
twin,쌍
ratio,비율
vice,바이스
climate,기후
blind,눈이 먼
raw,날것의
upon ...,에
beneath,~아래에
illness,병
word,단어
meter,미터
year,년도
useful,유용한
usual,보통
usually,대개
minute,분
ugly,못생긴
yet,아직
until,~까지
could,~할 수 있었다
but,하지만
various,다양한
vary,달라지다
ourselves,우리 스스로
vehicle,차량
everyday,매일
actually,실제로
version,버전
with,~와 함께
might,~할 것 같다
secondly,둘째로
should,~해야 한다
or,또는
some,일부
the,그만큼
video,동영상
we,우리
village,마을
they,그들
and,그리고
both,둘 다
must,~해야 하다
without,없이
versus,~대
visitor,방문객
for,~을 위한
that,저것
voice,목소리
volume,용량
may 5,월
than,~보다
vote,투표
wait,기다리다
will,~할 것이다
wall,벽
functional,기능적인
electric,전기 같은
war,전쟁
warm,따뜻한
warn,경고하다
wash,씻다
waste,쓰레기
digital,디지털
wave,파도
experimental,실험적인
train,기차
really,정말
precise,정밀한
mad,미친
terrible,끔찍한
weapon,무기
awful,끔찍한
severe,극심한
weekend,주말
massive,엄청난
fantastic,환상적
weight,무게
great,엄청난
welcome,환영
extreme,극심한
greatly,매우
radical,근본적인
ancient,고대의
newly,최근
whatever,무엇이든
moment,순간
parallel,평행한
slight,근소한
whereas,반면
steel,강철
intense,극심한
horrible,끔찍해
tiny,매우 작은
quite,상당히
white,하얀색
form,형태
curious,궁금한
competitive,경쟁력 있는
wide,넓은
sound,소리
wife,부인
wild,야생의
mode,방법
yes,예
wind,바람
window,창문
wine,와인
custom,관습
winter,겨울
who WHO,
food,음식
name,이름
wish,소망
probability,개연성
hello,안녕하세요
hi,안녕
excitement,흥분
wonder,궁금하다
wonderful,아주 멋진
invitation,초대
pregnant,임신한
youth,청년
worker,노동자
pride,자부심
worry,걱정하다
worth,가치
hope,희망
boundary,경계
wrong,잘못된
rice,쌀
yeah,응
sugar,설탕
determination,결정
cable,케이블
yesterday,어제
surely,확실히
rapidly,급속히
regardless,~에 관계없이
not,~아니다
yourself,당신 자신
verb,동사
when,언제
where,어디
candidate,후보자
language,언어
conference,회의
efficiency,능률
partnership,공동
valuable,귀중한
criticism,비판
own,소유하다
