abuse,남용하다/학대하다
majority,다수
holder,소지자
specialist,전문가
male,남성의
poet,시인
manage,관리하다
management,경영
manager,매니저
manner,방식
manufacture,제조하다
friend,친구
map,지도
maker,제작자
mark,표시
this,이것
marriage,결혼
marry,결혼하다
personality,성격
match,성냥
parent,부모
material,재료
injury,부상
illustration,삽화
curtain,커튼
flag,깃발
skirt,치마
maybe,아마도
tissue,조직
gate,문
stomach,위
measure,측정하다
center,중심
jail,감옥
gallery,미술관
medical,의료의
home,집
medium,중간의
intention,의도
program,프로그램
grass,풀
memory,기억
musical,음악의
mention,언급하다
opera,오페라
proud,자랑스러운
poetry,시
tent,텐트
message,메시지
approval,승인
implication,함축
method,방법
middle,중간
vessel,선박
mile,마일
military,군대의
passion,열정
mine,나의 것
conservative,보수적인
minister,장관
cost,비용
matter,문제
formation,형성
publication,출판
mix,혼합하다
recovery,회복
interaction,상호작용
market,시장
withdraw,철회하다
modern,현대의
penalty,형벌
justice,정의
humor,유머
beauty,아름다움
monitor,감시하다
charm,매력
darkness,어둠
stability,안정성
weakness,약점
moreover,게다가
tendency,경향
scope,범위
mostly,주로
class,수업
resistance,저항
state,상태
pension,연금
job,직업
emotional,감정적인
mountain,산
mouth,입
academic,학업의
movement,움직임
movie,영화
criminal,범죄자
scientific,과학적인
murder,살인
romantic,낭만적인
museum,박물관
clinical,임상의
structural,구조적인
local,지역의
racial,인종의
myself,내 자신
rural,시골의
educational,교육의
fundamental,근본적인
nation,국가
national,국가의
presidential,대통령의
natural,자연의
calm,침착한
nature,자연
near,가까운
inquiry,조사
nearly,거의
necessarily,반드시
necessary,필요한
honor,명예
permission,허가
high,높은
moon,달
guideline,지침
neighbor,이웃
grammar,문법
acceptable,받아들일 수 있는
too,너무
network,네트워크
complaint,불평
autumn,가을
news,뉴스
newspaper,신문
paragraph,단락
nice,멋진
grain,곡물
period,기간
nobody,아무도
nor,~도 아니다
normal,정상적인
normally,보통
north,북쪽
religion,종교
system,시스템
apartment,아파트
mutual,상호간의
notice,알아차리다
essay,에세이
episode,에피소드
novel,소설
alongside,나란히
plain,명백한
aunt,이모
nuclear,핵의
mere,단순한/겨우 ~에 불과한
town,마을
nurse,간호사
object,물건
objective,목표
pocket,주머니
stamp,우표
observe,관찰하다
obvious,분명한
obviously,분명히
bit,조금
stream,시내
occur,발생하다
cap,모자
less,더 적은
cheek,뺨
snow,눈
answer,대답
officer,경찰관
official,공식적인
part,부분
oil,기름
okay,괜찮은
prisoner,죄수
dealer,상인
designer,디자이너
pro,찬성
buyer,구매자
politician,정치인
slave,노예
operate,작동하다
operation,수술
shareholder,주주
opinion,의견
opportunity,기회
opposite,반대의
listener,청취자
option,선택
historian,역사가
ally,동맹
operator,운영자
enemy,적
organization,조직
volunteer,자원봉사자
mate,친구
otherwise,그렇지 않으면
ought,해야 하다
reporter,기자
stranger,낯선 사람
supplement,보충
variation,변화
problem,문제
outside,밖의
other,다른
overall,전반적인
luxury,사치
achievement,성취
mixture,혼합물
impressive,인상적인
owner,소유자
time,시간
pack,싸다
page,페이지
pain,고통
paint,그리다
exception,예외
hat,모자
paper,종이
classic,고전의
biological,생물학적인
disaster,재난
park,공원
burden,짐/부담
participate,참가하다
incentive,장려금
particular,특정한
particularly,특히
smooth,부드러운
partner,동반자
outcome,결과
pass,통과하다
composition,구성
priority,우선순위
path,길
patient,환자
pattern,무늬
pause,일시 정지
fact,사실
payment,지불
peace,평화
preference,선호
compound,화합물
prize,상
constraint,제약
indication,징후
obligation,의무
visual,시각적인
percent,퍼센트
percentage,백분율
perfect,완벽한
assumption,가정
perform,수행하다
performance,공연
perhaps,아마도
thing,것
pen,펜
rather,오히려
personal,개인의
tone,어조
alarm,경보
music,음악
perspective,관점
representation,대표
celebration,축하
ceremony,의식
phone,전화
photo,사진
gear,장비
physical,물리적인
rate,비율
pick,고르다
picture,그림
piece,조각
championship,선수권 대회
from,~로부터
ease,쉬움
gender,성별
attendance,출석
existence,존재
comfort,편안함
exposure,노출
plane,비행기
happiness,행복
plant,식물
complexity,복잡성
diversity,다양성
stair,계단
player,선수
tale,이야기
please,제발
pleasure,기쁨
plus,더하기
side,측면
guitar,기타
attachment,부착
barrier,장벽
philosophy,철학
police,경찰
history,역사
mathematics,수학
politics,정치
dramatic,극적인
flash,섬광
pool,수영장
poor,가난한
pop,팝
popular,인기 있는
formal,공식적인
number,숫자
lecture,강의
position,위치
positive,긍정적인
sweet,달콤한
examination,시험
possibility,가능성
exam,시험
possibly,아마
post,우편
potentially,잠재적으로
concentration,집중
potential,잠재적인
pound,파운드
selection,선택
entry,입장
immigration,이민
powerful,강력한
practice,연습
bath,목욕
shower,샤워
east,동쪽
measurement,측정
predict,예측하다
prefer,선호하다
chest,가슴
outline,개요
king,왕
meat,고기
unemployment,실업
prepare,준비하다
ear,귀
half,절반
I,나
prospect,전망
press,누르다
pressure,압력
discipline,규율
narrative,이야기
pretty,예쁜
prevent,예방하다
previous,이전의
previously,이전에
peak,정점
diet,식단
self,자신
primary,주요한
consequently,결과적으로
string,끈
wire,철사
book,책
anything,무엇이든
private,사적인
something,무엇인가
brush,붓
view,견해
clothing,의류
careful,주의 깊은
future,미래
procedure,절차
proceed,진행하다
pregnancy,임신
produce,생산하다
retirement,은퇴
production,생산
night,밤
deeply,깊이
submit,제출하다
profit,이익
acknowledge,인정하다
progress,진전
project,프로젝트
promise,약속하다
promote,촉진하다
pretend,~인 체하다
behave,행동하다
help,도움
proper,적절한
do,하다
proposal,제안
propose,제안하다
process,과정
protect,보호하다
protection,보호
crack,갈라지다
seem,~인 것 같다
prove,증명하다
question,질문
bless,축복하다
spell,철자를 쓰다/말하다
can,~할 수 있다
live,살다
attach,붙이다
feel,느끼다
pull,당기다
hear,듣다
purchase,구매하다
exceed,초과하다
purpose,목적
sit,앉다
push,밀다
remain,남다
differ,다르다
regret,후회하다
quality,품질
result,결과
quarter,4분의 1
lose,잃다
quick,빠른
quickly,빨리
quiet,조용한
need,필요하다
stand,서다
quote,인용하다
freeze,얼다
recover,회복하다
radio,라디오
disappear,사라지다
rain,비
raise,올리다
undertake,떠맡다
range,범위
become,~이 되다
arise,발생하다
react,반응하다
expect,예상하다
reckon,계산하다
lean,기대다
burst,터지다
split,나누다
sigh,한숨 쉬다
remember,기억하다
import,수입하다
reaction,반응
construct,건설하다
reader,독자
insure,보험에 들다
reality,현실
realize,깨닫다
love,사랑
send,보내다
embarrass,당황하게 하다
reasonable,합리적인
move,움직이다
recall,기억해 내다
convert,전환하다
recent,최근의
recently,최근에
update,갱신하다
adapt,적응하다
recognize,알아보다
recommend,추천하다
transform,변형시키다
translate,번역하다
edit,편집하다
red,빨간색
reduce,줄이다
wipe,닦다
refer,언급하다
reference,참조
shut,닫다
reform,개혁하다
integrate,통합하다
refuse,거절하다
regard,여기다
follow,따르다
return,돌아오다
register,등록하다
reach,도달하다
meet,만나다
regular,규칙적인
cluster,무리
compose,구성하다
regulation,규정
relate,관련시키다
relationship,관계
relative,상대적인
relatively,비교적
eliminate,제거하다
retain,유지하다
religious,종교적인
drive,운전하다
wrap,포장하다
make,만들다
invent,발명하다
remind,상기시키다
cope,대처하다
remove,제거하다
rent,임대하다
devote,바치다
repeat,반복하다
replace,대신하다
reply,대답하다
want,원하다
price,가격
representative,대표자
request,요청
require,필요로 하다
requirement,필요조건
weigh,무게를 달다
research,연구
grow,자라다
resident,거주자
derive,끌어내다
control,통제하다
detect,발견하다
find,찾다
consult,상담하다
exhibit,전시하다
resource,자원
respect,존경
play,놀다
respond,대답하다
response,대답
responsibility,책임
responsible,책임이 있는
rest,휴식
restaurant,식당
fulfill,이행하다
rush,서두르다
use,사용하다
continue,계속하다
begin,시작하다
solar,태양의
consume,소비하다
be,있다
anticipate,예상하다
reveal,드러내다
revenue,수익
undergo,겪다
review,검토
show,보여주다
praise,칭찬하다
protest,항의하다
neglect,방치하다
rich,부유한
admire,존경하다
ride,타다
occupy,차지하다
rise,오르다
risk,위험
river,강
road,도로
rock,바위
role,역할
roll,구르다
resolve,해결하다
calculate,계산하다
root,뿌리
compute,계산하다
like,좋아하다
round,둥근
route,경로
trace,추적하다
stop,멈추다
repair,수리하다
rule,규칙
study,공부하다
specialize,전공하다
chase,뒤쫓다
safe,안전한
safety,안전
pursue,추구하다
cough,기침
evaluate,평가하다
poll,투표
learn,배우다
recruit,모집하다
buy,사다
receive,받다
deserve,받을 만하다
satisfy,만족시키다
save,구하다
qualify,자격을 얻다
scale,규모
persuade,설득하다
excuse,변명
scene,장면
schedule,일정
scheme,계획
communicate,의사소통하다
support,지지하다
science,과학
pay,지불하다
deal,다루다
score,점수
justify,정당화하다
screen,화면
sea,바다
assign,할당하다
search,검색하다
season,계절
reward,보상
offer,제공하다
entitle,자격을 주다
section,부분
sector,부문
secure,안전한
lend,빌려주다
yield,산출하다
seek,찾다
dedicate,바치다
sink,가라앉다
select,선택하다
reverse,뒤집다
accompany,동반하다
sell,팔다
visit,방문하다
senior,연장자
sense,감각
develop,개발하다
sentence,문장
separate,분리하다
distribute,분배하다
series,연속
serious,심각한
give,주다
serve,제공하다
disagree,동의하지 않다
negotiate,협상하다
settle,해결하다
mean,의미하다
think,생각하다
keep,유지하다
sex,성별
dare,감히 ~하다
know,알다
shake,흔들다
shall,~할 것이다
shape,모양
involve,포함하다
encounter,마주치다
possess,소유하다
dominate,지배하다
correspond,일치하다
assist,돕다
boost,신장시키다
sponsor,후원자
shift,이동하다
crash,충돌하다
ship,배
shock,충격
shoot,쏘다
shop,가게
tap,가볍게 두드리다
short,짧은
knock,두드리다
embrace,포옹하다
harm,해를 끼치다
incorporate,포함하다
point,가리키다
unite,연합하다
isolate,격리하다
preserve,보존하다
understand,이해하다
significant,중요한
resign,사임하다
abandon,버리다
allow,허락하다
underlie,기저를 이루다
counsel,조언
similar,비슷한
simple,간단한
simply,간단히
care,돌봄
sing,노래하다
single,단일의
read,읽다
watch,보다
sister,자매
stare,응시하다
glance,흘끗 보다
situation,상황
size,크기
scan,살펴보다
skill,기술
fade,희미해지다
service,서비스
sleep,자다
sustain,유지하다
alter,바꾸다
decide,결정하다
slightly,약간
boom,호황
pour,붓다
slow,느린
swear,맹세하다
scream,비명을 지르다
bet,내기하다
smoke,연기
try,시도하다
provide,제공하다
shine,빛나다
craft,공예
society,사회
revise,수정하다
software,소프트웨어
note,메모
soldier,군인
complicate,복잡하게 하다
solution,해결책
solve,해결하다
change,바꾸다
somebody,누군가
increase,증가하다
someone,누군가
regulate,규제하다
sometimes,때때로
impress,깊은 인상을 주다
somewhere,어딘가에
son,아들
song,노래
frighten,겁먹게 하다
sorry,미안한
trick,속임수
motivate,동기를 부여하다
source,원천
south,남쪽
scare,겁주다
space,공간
depress,우울하게 하다
inspire,영감을 주다
speaker,발표자
special,특별한
anger,분노
bore,지루하게 하다
interest,관심
specific,특정한
speech,연설
speed,속도
include,포함하다
enhance,향상시키다
stretch,늘이다
spirit,정신
cause,원인
ban,금지하다
sport,스포츠
spot,장소
spread,퍼지다
spring,봄
bend,구부리다
seal,봉인하다
staff,직원
stage,단계
trigger,촉발하다
strengthen,강화하다
confuse,혼란스럽게 하다
assure,장담하다
level,수준
standard,기준
star,별
constitute,구성하다
comprise,포함하다
pump,펌프
statement,성명
station,역
status,지위
create,창조하다
stain,얼룩
step,단계
stick,막대기
greet,인사하다
suggest,제안하다
cite,인용하다
stone,돌
stir,젓다
breathe,숨쉬다
store,상점
wander,돌아다니다
leap,뛰어오르다
straight,곧은
dig,파다
strange,이상한
fold,접다
strategy,전략
put,놓다
street,거리
strength,힘
go,가다
stress,스트레스
hurry,서두르다
slide,미끄러지다
strike,치다
swing,흔들리다
come,오다
walk,걷다
strong,강한
run,달리다
struggle,투쟁하다
owe,빚지다
rid,없애다
stuff,물건
disappoint,실망시키다
let,내버려 두다
perceive,인식하다
distinguish,구별하다
get,얻다
appoint,임명하다
success,성공
successful,성공적인
govern,통치하다
mount,오르다
suddenly,갑자기
suffer,고통받다
have,가지다
call,부르다
take,가져가다
suggestion,제안
suit,정장
situate,위치시키다
sum,합계
click,클릭하다
summer,여름
sun,태양
bite,물다
restrict,제한하다
supply,공급하다
exclude,제외하다
suppose,가정하다
breed,번식하다
defend,방어하다
surface,표면
input,입력
surprise,놀라움
restore,복구하다
surround,둘러싸다
survey,설문 조사
pose,제기하다
survive,살아남다
place,장소
bury,묻다
grab,움켜쥐다
borrow,빌리다
sweep,쓸다
swim,수영하다
interpret,해석하다
rescue,구조하다
remark,발언
table,탁자
value,가치
tell,말하다
joke,농담
blame,비난하다
damn,빌어먹을
declare,선언하다
apologize,사과하다
accuse,고발하다
tape,테이프
target,목표
task,일
tax,세금
taxi,택시
tea,차
teach,가르치다
teacher,선생님
team,팀
technical,기술적인
technique,기법
telephone,전화
criticize,비판하다
talk,말하다
tend,~하는 경향이 있다
ask,묻다
steal,훔치다
broadcast,방송하다
dismiss,해고하다
cast,던지다
break,깨다
install,설치하다
expose,드러내다
lead,이끌다
slip,미끄러지다
text,텍스트
evolve,진화하다
grin,활짝 웃다
shout,외치다
ruin,망치다
theater,극장
theme,주제
themselves,그들 자신
implement,실행하다
found,설립하다
summarize,요약하다
allege,주장하다
therefore,그러므로
specify,명시하다
float,뜨다
cancel,취소하다
hesitate,망설이다
disturb,방해하다
suspend,매달다
retire,은퇴하다
threat,위협
threaten,위협하다
emphasize,강조하다
throughout,도처에
throw,던지다
thus,따라서
ticket,표
urge,촉구하다
till,~까지
analyze,분석하다
win,이기다
tire,타이어
overcome,극복하다
title,제목
accomplish,성취하다
collapse,붕괴하다
imply,암시하다
tomorrow,내일
advise,조언하다
tackle,다루다
tonight,오늘 밤
entertain,즐겁게 하다
bring,가져오다
happen,일어나다
topic,주제
total,총
totally,완전히
tough,힘든
tour,관광
tourist,관광객
strip,벗기다
toward,~을 향하여
bother,괴롭히다
chat,수다를 떨다
whisper,속삭이다
track,자취
trade,무역
traditional,전통적인
traffic,교통
educate,교육하다
thank,감사하다
transfer,옮기다
aside,곁에
consider,고려하다
transport,수송하다
believe,믿다
travel,여행하다
treat,대하다
treatment,치료
tree,나무
trend,경향
trial,재판
stroke,뇌졸중
sail,항해하다
trip,여행
trouble,문제
resist,저항하다
compete,경쟁하다
trust,신뢰하다
truth,진실
spin,회전하다
twist,비틀다
look,보다
twice,두 번
figure,수치
hold,잡다
spend,쓰다
typical,전형적인
force,힘
say,말하다
speak,말하다
see,보다
smell,냄새 맡다
march,행진/행진하다
unclear,불분명한
defeat,패배시키다
pray,기도하다
strain,부담
soil,흙
head,머리
rear,뒤쪽의
unfortunately,불행하게도
journey,여행
unique,독특한
unit,단위
therapy,치료
upset,속상한
van,승합차
university,대학교
pipe,파이프
unless,~하지 않으면
twin,쌍둥이
ratio,비율
vice,악덕
climate,기후
blind,눈먼
raw,날것의
upon,~위에
beneath,~아래에
illness,질병
word,단어
meter,미터
year,연도
useful,유용한
usual,보통의
usually,보통
minute,분
ugly,못생긴
yet,아직
until,~까지
could,~할 수 있었다
but,그러나
various,다양한
vary,다르다
ourselves,우리 자신
vehicle,차량
everyday,매일의
actually,실제로
version,버전
with,~와 함께
might,~할지도 모른다
secondly,두 번째로
should,~해야 한다
or,또는
some,약간의
the,그
video,비디오
we,우리
village,마을
they,그들
and,그리고
both,둘 다
must,~해야 한다
without,~없이
versus,~대
visitor,방문객
for,~을 위해
that,저것
voice,목소리
volume,부피
may,~일지도 모른다
than,~보다
vote,투표하다
wait,기다리다
will,~할 것이다
wall,벽
functional,기능적인
electric,전기의
war,전쟁
warm,따뜻한
warn,경고하다
wash,씻다
waste,낭비하다
digital,디지털의
wave,파도
experimental,실험적인
train,기차
really,정말
precise,정확한
mad,미친
terrible,끔찍한
weapon,무기
awful,끔찍한
severe,심각한
weekend,주말
massive,거대한
fantastic,환상적인
weight,무게
great,위대한
welcome,환영하다
extreme,극단적인
greatly,크게
radical,근본적인
ancient,고대의
newly,최근에
whatever,무엇이든
moment,순간
parallel,평행한
slight,약간의
whereas,~인 반면에
steel,강철
intense,강렬한
horrible,끔찍한
tiny,아주 작은
quite,꽤
white,흰색
form,형태
curious,궁금한
competitive,경쟁적인
wide,넓은
sound,소리
wife,아내
wild,야생의
mode,방식
yes,네
wind,바람
window,창문
wine,와인
custom,관습
winter,겨울
who,누구
food,음식
name,이름
wish,바라다
probability,확률
hello,안녕하세요
hi,안녕
excitement,흥분
wonder,궁금해하다
wonderful,놀라운
invitation,초대
pregnant,임신한
youth,청춘
worker,노동자
pride,자부심/긍지
worry,걱정하다
worth,가치
hope,희망하다
boundary,경계
wrong,잘못된
rice,쌀
yeah,응
sugar,설탕
determination,결심
cable,케이블
yesterday,어제
surely,확실히
rapidly,빠르게
regardless,~에 상관없이
not,아니다
yourself,너 자신
verb,동사
when,언제
where,어디에
candidate,후보자
language,언어
conference,회의
efficiency,효율성
partnership,동반자 관계
valuable,가치 있는
criticism,비판
own,소유하다
